,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
4794,569731104070115329,positive,1.0,,,Southwest,,JasmineDT,,1,southwestair early frontrunner best airline,,2015-02-22 21:30:54 -0800,Washington D.C. ,Eastern Time (US & Canada)
10480,569263373092823040,negative,1.0,Cancelled Flight,1.0,US Airways,,ElizabethFrayer,,0,usairways flt ewr cancelled flightled yet flts nyc usairways still flying,,2015-02-21 14:32:19 -0800,,
8067,568818669024907264,negative,1.0,Late Flight,0.677,Delta,,The_Radifier,,0,jetblue going bdl dca flight yesterday today every single one getting delayed,,2015-02-20 09:05:13 -0800,"Arlington, VA",Atlantic Time (Canada)
8880,567775864679456768,neutral,1.0,,,Delta,,rnlewisjr,,0,jetblue depart washington,,2015-02-17 12:01:29 -0800,"iPhone: 60.495510,-151.064590",Alaska
8292,568526521910079488,negative,0.6625,Customer Service Issue,0.3394,Delta,,beantoon,,0,jetblue probably find ticket,,2015-02-19 13:44:20 -0800,"Plymouth,  MA",
927,570008443626647552,negative,1.0,Can't Tell,0.3477,United,,kabell87,,0,united still waiting hear back wallet stolen one plane would appreciate resolution,,2015-02-23 15:52:57 -0800,,
3165,568622671287566336,negative,1.0,Cancelled Flight,0.6871,United,,stephaniefoos,,0,united yes flight rebooked losing trust want get anywhere time,"[40.69522398, -74.1760931]",2015-02-19 20:06:23 -0800,"Boston, MA",Alaska
7894,569076569983086592,neutral,1.0,,,Delta,,theycallme_HH,,0,jetblue thank paris could arrange something,"[0.0, 0.0]",2015-02-21 02:10:01 -0800,Orleans/Tarpon Springs/London,Amsterdam
2818,568884344221081600,negative,0.6869,Can't Tell,0.3434,United,,andreamvdlg,,0,united sure however ticket included one checked bag therefore charge extra completely unanticipated,,2015-02-20 13:26:11 -0800,Edinbrah ,Eastern Time (US & Canada)
9145,570119853312311296,positive,1.0,,,US Airways,,GrahamHaigh,,0,usairways great crew flight phx yvr tonight friendly efficient awesome job,,2015-02-23 23:15:40 -0800,"Vancouver, Canada",Pacific Time (US & Canada)
8983,570303720308809728,negative,1.0,Customer Service Issue,1.0,US Airways,,jhazelnut,,0,usairways hold change date ticket hour someone please assist unacceptable,,2015-02-24 11:26:17 -0800,,
5333,569184833361936387,neutral,0.6843,,0.0,Southwest,,BavarianLin,,0,southwestair dm,"[30.26196639, -97.75945775]",2015-02-21 09:20:13 -0800,New Jersey / Munich,Eastern Time (US & Canada)
5821,568572506300243968,positive,1.0,,,Southwest,,walterbiscardi,,0,southwestair already signed thanks looking forward trying southwest experience,,2015-02-19 16:47:03 -0800,Atlanta,Eastern Time (US & Canada)
5460,568975192615223296,neutral,0.6535,,0.0,Southwest,,mmillanjr,,0,southwestair,,2015-02-20 19:27:11 -0800,,
10397,569332237138841600,positive,0.3502,,0.0,US Airways,,MattClement,,0,usairways oh well get cancun eventually,,2015-02-21 19:05:57 -0800,"Troy, NY",Eastern Time (US & Canada)
10369,569346960181870592,negative,1.0,Bad Flight,0.6667,US Airways,,EllenFord,,0,usairways flight passenger stuck plane philly gangway ca hear pilot,,2015-02-21 20:04:27 -0800,"Gloucester, MA",Quito
12299,570240246719381504,negative,1.0,Lost Luggage,1.0,American,,dianafakhouri,,0,americanair already waited hour wanted get home,"[0.0, 0.0]",2015-02-24 07:14:04 -0800,"Chicago, IL",Eastern Time (US & Canada)
4590,569994045205803009,positive,0.7047,,0.0,Southwest,,itspr1,,0,southwestair thanks quick response call daily wait day,,2015-02-23 14:55:45 -0800,,Pacific Time (US & Canada)
7458,569587048811761664,negative,1.0,Can't Tell,0.3516,Delta,,emilybholan,,0,jetblue dont enough money parking garage fault im paying,,2015-02-22 11:58:29 -0800,N Y,
7946,568944962311626752,neutral,1.0,,,Delta,,BillyKace,,0,jetblue lgb sunny cal http,"[33.8117407, -118.1628]",2015-02-20 17:27:04 -0800,,Pacific Time (US & Canada)
14562,569598991463268352,negative,0.7257,Flight Attendant Complaints,0.3919,American,,otisday,,0,americanair yvonneokaka get personal response apology crew forgotten load baggage onto flight,,2015-02-22 12:45:56 -0800,Pekin,Eastern Time (US & Canada)
8398,568424902287446016,negative,1.0,Flight Attendant Complaints,0.6531,Delta,,yippersNY,,0,jetblue info infuriated way previous rep treated possibly work jetblue rep,,2015-02-19 07:00:32 -0800,,
3000,568803218488033282,negative,1.0,Customer Service Issue,1.0,United,,Selcukatli,,0,united money sucking airline terrible terrible customer service,,2015-02-20 08:03:49 -0800,San Francisco,Eastern Time (US & Canada)
12542,570118668551458816,neutral,0.6687,,0.0,American,,sherscott,,0,americanair btwn gate amp lost diamond earring dayjustgotworse pls maintenance look http,,2015-02-23 23:10:57 -0800,Houston,Central Time (US & Canada)
10450,569289836995190784,positive,0.7065,,,US Airways,,awitsportsfreak,,0,usairways shoutout kristie sp pvd today rockstar tremendous help tough situation promotethatgirl,"[41.72221977, -71.44574004]",2015-02-21 16:17:28 -0800,"Wisconsin, Arizona and...",Pacific Time (US & Canada)
10149,569522479049400320,negative,1.0,Bad Flight,0.6952,US Airways,,corybronze,,3,usairways family friend colleague never fly usair bad weather happens good airline seem communicate better,,2015-02-22 07:41:54 -0800,,
8818,567821528424845312,positive,0.6804,,0.0,Delta,,mrsmjem,,0,jetblue landed thank anyway btw flight staff flight wonderful despite full day heavy load,,2015-02-17 15:02:56 -0800,CT,Quito
8239,568567970450055170,neutral,1.0,,,Delta,,markjohnson319,,0,jetblue airbusintheus landing february avgeek warmweather http,,2015-02-19 16:29:02 -0800,"Dallas, TX",
6302,568072079096061952,neutral,1.0,,,Southwest,,cej1124,,0,southwestair ahhhh sorry followed,,2015-02-18 07:38:32 -0800,"Austin, TX, USA",Central Time (US & Canada)
14357,569628323443318785,negative,1.0,Can't Tell,0.3401,American,,isainsbury,,0,americanair ticket poor gesture goodwill missed trip top status flyer may next time,,2015-02-22 14:42:30 -0800,"Great Abington, Cambridge, GB",London
9595,569849295786127360,negative,0.6452,Can't Tell,0.6452,US Airways,,daknadler,,0,usairways got get got excuse usairwaysfail,,2015-02-23 05:20:34 -0800,Jacksonville,Eastern Time (US & Canada)
8515,568198336651649027,positive,1.0,,,Delta,,GenuineJack,,0,jetblue pas along advice guy rock,,2015-02-18 16:00:14 -0800,Massachusetts,Central Time (US & Canada)
379,568434482270707712,positive,1.0,,,Virgin America,,heatherbeckel,,0,virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,,2015-02-19 07:38:36 -0800,ATX,Central Time (US & Canada)
8121,568766295761682432,positive,1.0,,,Delta,,m1ss_DefJam,,0,jetblue haha need apologize flight booking problem sooner late flightr love jetblue,,2015-02-20 05:37:06 -0800,Orlando - ΜΣΥ,Eastern Time (US & Canada)
5389,569152201278525440,negative,1.0,Customer Service Issue,1.0,Southwest,,amyvenezia,,0,southwestair hold hr ca get airport flight icy country backroads help pls human answer bna,,2015-02-21 07:10:33 -0800,The Universe,Pacific Time (US & Canada)
5500,568945122961784833,negative,1.0,Late Flight,0.6246,Southwest,,Bob_Dickson,,0,southwestair hour sorry get oh well screw weekend az right eat hotel problem,,2015-02-20 17:27:42 -0800,,Central Time (US & Canada)
2366,569243676594941953,negative,1.0,Can't Tell,0.353,United,,LisaKothari,,0,united wonder cabin filthy badservice,"[37.61782989, -122.39172299]",2015-02-21 13:14:03 -0800,Seattle WA,Pacific Time (US & Canada)
9319,569985838689456128,negative,1.0,Cancelled Flight,0.6939,US Airways,,ciaoholly,,0,usairways operate flight without maintenance issue flight dca cancelled flighted getting old update fleet pls,,2015-02-23 14:23:08 -0800,NYC,
2957,568815660815519744,negative,1.0,Can't Tell,1.0,United,,riad_otoum,,0,united sure business go else airline travel name kathryn sotelo,,2015-02-20 08:53:16 -0800,"Louisville, KY",
9590,569857037477158912,negative,1.0,Can't Tell,0.6732,US Airways,,StephanSDalal,,0,usairways relied u airway mistake awful customer experience,,2015-02-23 05:51:19 -0800,,
12180,570268326250745856,negative,0.667,Cancelled Flight,0.667,American,,hooton,,0,americanair flight dfw lit way pdx tomorrow cancelled flighted help,,2015-02-24 09:05:38 -0800,"Little Rock, AR",Central Time (US & Canada)
1323,569830265364701184,negative,1.0,Customer Service Issue,1.0,United,,nicoleleigh85,,0,united poor customer service think befor flight booking problem another united flight,,2015-02-23 04:04:56 -0800,Sheboygan,
3429,568450017649778688,positive,1.0,,,United,,melanie_seibert,,0,united joni great job flight lax thanks great flight,,2015-02-19 08:40:20 -0800,Texas,Central Time (US & Canada)
2310,569261989735718914,negative,1.0,Damaged Luggage,1.0,United,,untalMontfort,,0,united broken luggage mild case food poisoning email,"[19.41622708, -99.16143525]",2015-02-21 14:26:49 -0800,"Mexico City, Mexico",Central Time (US & Canada)
4448,570250252382416896,neutral,1.0,,,Southwest,,kdtwill,,0,southwestair traditionally used sledge hammer low taking share driving scalpel approach data science anamarketers,,2015-02-24 07:53:49 -0800,"Austin, Texas",
5665,568828267660054528,positive,1.0,,,Southwest,,ljordan,,0,southwestair thanks info quick response,,2015-02-20 09:43:21 -0800,"Austin, TX",Central Time (US & Canada)
8184,568631189856264192,positive,1.0,,,Delta,,BorjaAngoitia1,,0,jetblue great thank let hope could please notify flight leaf jfk thank,,2015-02-19 20:40:14 -0800,,
914,570018079993937920,negative,0.6482,Customer Service Issue,0.3294,United,,CharlieGMoney,,1,united inadequate accident,"[40.68545235, -74.18374208]",2015-02-23 16:31:15 -0800,"Chicago, IL",
2536,569117696610185217,negative,1.0,Customer Service Issue,1.0,United,,BenBell22,,0,united coupled cutting exacerbates noted issue,,2015-02-21 04:53:27 -0800,,Eastern Time (US & Canada)
